blend_id,predictions
0189e1f2-2ab8-11ee-8be1-005056921581,72225.61668003102
02114c6e-eb16-11ed-9974-005056921581,63791.151193078455
03ac1c22-6af9-11ed-8d22-005056921581,74221.4829474986
03b8daf4-a615-11ee-9529-005056921581,54838.589234385174
051562fa-a8e7-11ec-9d4e-005056921581,75300.11340238873
055efc72-4bbb-11ed-9952-005056921581,67359.29972326734
064f89f6-7fee-11ec-83a1-005056921581,73989.47156075867
075e2d8a-09c1-11ee-8f75-005056921581,73306.91852409129
139fa190-6d8b-11ee-889d-005056921581,65855.54734330703
14d8a6d0-716d-11ed-878b-005056921581,74169.0914362132
14efbc8a-9090-11ec-83a1-005056921581,73460.02382259179
169e5036-29fb-11ee-9a48-005056921581,72677.73331961108
1a9aad8c-ce30-11ed-88e9-005056921581,79862.1138483602
1a9c51ca-98b9-11ed-8fc0-005056921581,72148.52718674137
1ab40d08-2bdf-11ec-7285-005056927b84,66655.47128885865
1bfb8c8a-b4ac-11ec-8ff7-005056921581,69302.0337148351
1c012932-3e37-11ed-8783-005056921581,73796.09588188332
1f47d78a-f3e5-11ed-8a03-005056921581,74295.93525263801
20530a5c-c3f9-11ee-9235-005056921581,67811.39417403135
20a539c6-8057-11ed-8dc2-005056921581,65194.46496901719
20c8a220-6b13-11ed-8d22-005056921581,74221.4829474986
228110c2-4497-11ed-8e3b-005056921581,65653.21871284075
229579da-c4d0-11ee-97fb-005056921581,54838.589234385174
234fc03a-74ab-11ee-9219-005056921581,70443.32531690289
23a65c08-2bdb-11ec-7285-005056927b84,75153.10081985025
24f40de2-8eaf-11ee-8345-005056921581,54838.589234385174
250f57aa-045d-11ee-9aec-005056921581,73306.91852409129
277da7a6-5f37-11ed-855c-005056921581,71481.12161312172
27c81e04-56bc-11ed-9f98-005056921581,78002.57549416373
293735da-506e-11ed-8429-005056921581,68953.07043521218
29f3c336-b64d-11ed-84cd-005056921581,71844.05485389371
2e94cdec-c7c6-11ed-9659-005056921581,69622.3323656777
2f4b89ec-d21b-11ed-929c-005056921581,76266.27806838542
30bc2706-a065-11ed-9f24-005056921581,67669.71436114854
32cfefe8-f3e7-11ed-8a03-005056921581,71330.29302522115
3545c644-5441-11ed-993d-005056921581,76302.55507654304
39193726-3e3c-11ed-8783-005056921581,65818.39725810107
39ec78c0-637a-11ee-92b6-005056921581,63437.56703661331
3b051ab4-7078-11ed-8f46-005056921581,73938.28664280807
3e6b70c2-42f6-11ed-83a7-005056921581,65653.21871284075
425ce370-8eb1-11ee-8345-005056921581,54838.589234385174
426bca34-828c-11ed-9fa7-005056921581,65194.46496901719
436938d2-b45d-11ee-967c-005056921581,78395.41776257087
454d2dfc-a9dd-11ec-9d4e-005056921581,71347.66167338952
45b6a45a-b5b6-11ec-8ff7-005056921581,78230.59772909974
463dce28-c0cf-11ee-8fe1-005056921581,60018.88553886974
484f01ae-29f4-11ee-9a48-005056921581,54838.589234385174
4be37220-59be-11ed-89c9-005056921581,70443.32531690289
4bf2bc26-0748-11ed-9115-005056921581,71023.28070818445
4d436672-7ae6-11ed-9727-005056921581,72148.52718674137
50721548-b602-11ee-870b-005056921581,64639.510355625454
51f2ecba-5a7a-11ed-89c9-005056921581,63680.54925575376
53692f3c-8841-11ee-9dd6-005056921581,67811.39417403135
54894eb2-c256-11ed-9d71-005056921581,69337.03379807607
552fd5c0-0e82-11ee-9c71-005056921581,55709.034582993714
580b1b08-c95c-11ed-973e-005056921581,69622.3323656777
5856be2a-cbb3-11ec-81a4-005056921581,64552.26192623154
668c06d4-30f3-11ee-90ef-005056921581,72225.61668003102
66a3fb9e-bc92-11ec-9ebf-005056921581,68427.89237476772
69ad809c-9410-11ee-8abf-005056921581,64284.85023621589
69cbd8f0-90db-11ed-8e59-005056921581,59655.2426769336
6f513d9a-d219-11ed-929c-005056921581,67669.71436114854
70d3c084-0112-11ee-9862-005056921581,63679.92762203853
70eef20a-c6d5-11ec-9ebf-005056921581,64552.26192623154
7277cabe-5a8e-11ed-96db-005056921581,72728.34637745697
72b7aafa-d791-11ed-8145-005056921581,70777.70146794501
732f3262-20a9-11ee-8516-005056921581,78615.35724423476
7441fe6e-4c48-11ec-8a77-005056921581,63243.97318018523
773591f8-ab75-11ec-9d4e-005056921581,71347.66167338952
7b823508-ac02-11ec-9d4e-005056921581,71347.66167338952
821376f2-ab76-11ec-9d4e-005056921581,71347.66167338952
8394d01c-5e3b-11ec-803b-005056921581,71665.76004662715
849b1032-8eb0-11ee-8345-005056921581,54838.589234385174
850ba742-cc9b-11ee-94a0-005056921581,60018.88553886974
86e701f0-fe99-11ec-8ee8-005056921581,69559.81422108827
871ec462-09da-11ee-8bcd-005056921581,65299.29493570373
8bfcb83c-b25f-11ec-8ff7-005056921581,78230.59772909974
8bfcd77e-82b4-11ed-9fa7-005056921581,76894.11600069303
8d3a510c-d2b4-11ed-917a-005056921581,69622.3323656777
92fd7de2-62fa-11ec-8eb2-005056921581,75300.11340238873
96f82750-0f31-11ee-9c71-005056921581,76227.72384280563
97249b7a-9590-11ed-84b7-005056921581,69388.48508789539
994a200e-853c-11ee-9d2f-005056921581,67217.48932893395
9d91d192-55e1-11ed-8e55-005056921581,68579.93664854331
9eccbebc-df54-11ed-9196-005056921581,69337.03379807607
a0b8d8aa-5692-11ed-9f98-005056921581,78745.49324939447
a1680912-8209-11ee-8702-005056921581,54308.11389296931
a464e08a-c5a3-11ee-9962-005056921581,64756.158300371884
a81ef14c-b5b6-11ec-8ff7-005056921581,78230.59772909974
ad063bfc-e4c7-11ed-9764-005056921581,70339.10778188832
af6b74a2-a614-11ee-9529-005056921581,54838.589234385174
b067098a-c9a4-11ee-94c1-005056921581,71216.55281901824
b09f6d00-d46e-11ee-9072-005056921581,72225.61668003102
b14651e0-e272-11ed-8477-005056921581,54890.90484861487
b289598c-ce2f-11ed-88e9-005056921581,69337.03379807607
b518b3a2-b82a-11ed-994d-005056921581,67726.52842603446
b5dc2678-aba7-11ed-8d81-005056921581,56705.47812303914
b5e28684-a9dd-11ec-9d4e-005056921581,71347.66167338952
b617ecdc-c4a6-11ec-9ebf-005056921581,64552.26192623154
b834a69e-1263-11ed-8f47-005056921581,79012.54183671012
bc38d386-ab76-11ec-9d4e-005056921581,71347.66167338952
bec5dbb4-040c-11ed-8557-005056921581,69096.14655727994
bece165e-53fd-11ec-92cf-005056921581,65889.19765915269
c16c5606-028e-11ed-9242-005056921581,71023.28070818445
c311ca32-0805-11ed-9b80-005056921581,71023.28070818445
c4af79fc-5a8f-11ed-96db-005056921581,72728.34637745697
c620e098-0bff-11ed-9b29-005056921581,86962.85135178099
c9809e88-c6fb-11ed-863f-005056921581,79862.1138483602
cc124ca8-7710-11ee-9530-005056921581,67811.39417403135
cecb5fca-568c-11ed-8e55-005056921581,70443.32531690289
cf7e06d0-bc99-11ec-9ebf-005056921581,68427.89237476772
